#UserId	TweetId	TweetText	TweetTime
1423281667	333614823747231744	hepinizin anneler gn kutlu olsun	Sun May 12 16:09:06 2013
1423544065	333626305914499072	helloo everybody :)	Sun May 12 16:54:44 2013
1423243279	333634544550961152	i love my people...la la la    la la    lalalalala	Sun May 12 17:27:28 2013
1423243279	333632343719944193	*** http://t.co/ktnXodAAM0	Sun May 12 17:18:43 2013
1423243279	333628072697946113	site http://t.co/NIRLPfGpTM	Sun May 12 17:01:45 2013
1423243279	333627897577340931	love you all . please go to the website at least just . the most you can help in the development of the site by 10%. thank you to you	Sun May 12 17:01:03 2013
1423243279	333626039655862273	sorry :http://t.co/NIRLPfGpTM	Sun May 12 16:53:40 2013
1423243279	333625828703363074	http://t.co/rP12PGDGb8	Sun May 12 16:52:50 2013
1423243279	333621693295779840	http://t.co/NIRLPfGpTM	Sun May 12 16:36:24 2013
21447363	333523537258229760	I noticed that. I guess I was too excited.  Sorry mom. RT @izzyduval: @katyperry the grammar in that tweet is appalling Katy	Sun May 12 10:06:22 2013
21447363	333445259965128704	Yes, I just did gyrated on Mick Jagger. WHAT?! #Stones50	Sun May 12 04:55:19 2013
21447363	333405666272219136	Myyyy @maisonmichel moment! RT @MDMOLINARI: This @maisonmichel moment  http://t.co/2HLed457S4	Sun May 12 02:17:59 2013
21447363	333334789492965376	I'm much obliged &amp; quite honored!RT @RollingStones: Tonight the Rolling Stones will be joined on stage in Las Vegas by @katyperry! #Stones50	Sat May 11 21:36:21 2013
21447363	331936827336454145	Throw itthrow it, that's how we  out. #immacomintogetyouRiRi	Wed May 08 01:01:21 2013
21447363	331935232368443392	Yaaaaass RT @yungskeeter: wish people would invite me to the met gala so I could wear all #hollister and bring some #swog to that place	Wed May 08 00:55:01 2013
21447363	331602267159556097	Jell-O shots at The Met ball is tres punk!	Tue May 07 02:51:56 2013
21447363	331554477473685504	Tonight for The Met I am channeling the OG queen of PUNK, JOAN of ARC! http://t.co/eFMcAIWdoK	Mon May 06 23:42:02 2013
21447363	331180570967158784	Wow that picture posted upside down looks like we're having more fun than we actually are...	Sun May 05 22:56:15 2013
21447363	331179358670684160	http://t.co/73yljkMPHe	Sun May 05 22:51:26 2013
21447363	330499754222047233	Perfectly put by Labrinth feat. Emeli Sande: https://t.co/jYymk1jjLE	Sat May 04 01:50:56 2013
21447363	330469057222541312	Sometimes it takes me weeks, months, years to write a song and then sometimes... God gives it to me in a moment. Oh, I love this moment.	Fri May 03 23:48:57 2013
21447363	330156627221180416	Tonight's killer mani to match! http://t.co/nwrJJ7LbJe	Fri May 03 03:07:28 2013
21447363	330135969812586496	Just had an elegant unveiling of my new fragrance KILLER QUEEN at the Duke! Can't wait to share the royal juice! #sosophisticated	Fri May 03 01:45:23 2013
